smiles,dielectric_constant,band_gap_eV,Tg_K,monomer,reaction_type,temperature_K,solvent,reaction_time_hours,source,SMILES
[*]C(=O)c1ccc(C40H62O2Sn2)cc1[*],3.2976,3.6226,487.6,O=C(O)c1ccc(C40H62O2Sn2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C40H62O2Sn2)cc1[*]
[*]C(=O)c1ccc(C4H6O4Ti)cc1[*],10.5594,1.9741,359.2,O=C(O)c1ccc(C4H6O4Ti)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C4H6O4Ti)cc1[*]
[*]C(=O)c1ccc(C14H12N4S2)cc1[*],6.005,2.5062,419.0,O=C(O)c1ccc(C14H12N4S2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C14H12N4S2)cc1[*]
[*]C(=O)c1ccc(C8H8N4O6)cc1[*],4.9835,3.3678,390.8,O=C(O)c1ccc(C8H8N4O6)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C8H8N4O6)cc1[*]
[*]C(=O)c1ccc(C13H24O4Sn)cc1[*],3.8982,6.2772,390.7,O=C(O)c1ccc(C13H24O4Sn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C13H24O4Sn)cc1[*]
[*]C(=O)c1ccc(C11H20O4Ti)cc1[*],4.5665,3.6782,383.7,O=C(O)c1ccc(C11H20O4Ti)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C11H20O4Ti)cc1[*]
[*]C(=O)c1ccc(C4H4O4Zr)cc1[*],12.6727,0.9024,359.2,O=C(O)c1ccc(C4H4O4Zr)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C4H4O4Zr)cc1[*]
[*]C(=O)c1ccc(C10H12Mg2O8)cc1[*],5.1408,6.1798,375.4,O=C(O)c1ccc(C10H12Mg2O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C10H12Mg2O8)cc1[*]
[*]C(=O)c1ccc(C6H4Mg2O8)cc1[*],8.1221,4.2267,361.4,O=C(O)c1ccc(C6H4Mg2O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H4Mg2O8)cc1[*]
[*]C(=O)c1ccc(C10H16O4Zn)cc1[*],7.8504,5.8756,380.2,O=C(O)c1ccc(C10H16O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C10H16O4Zn)cc1[*]
[*]C(=O)c1ccc(C8H4O2S)cc1[*],5.4987,2.5144,375.6,O=C(O)c1ccc(C8H4O2S)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C8H4O2S)cc1[*]
[*]C(=O)c1ccc(C15H8OS2)cc1[*],5.2302,1.9872,401.3,O=C(O)c1ccc(C15H8OS2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C15H8OS2)cc1[*]
[*]C(=O)c1ccc(C10H16O4Zn)cc1[*],8.5057,5.8983,380.2,O=C(O)c1ccc(C10H16O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C10H16O4Zn)cc1[*]
[*]C(=O)c1ccc(C20H16O4)cc1[*],3.9548,3.6398,415.2,O=C(O)c1ccc(C20H16O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C20H16O4)cc1[*]
[*]C(=O)c1ccc(C12H8O4)cc1[*],4.5474,2.4604,387.2,O=C(O)c1ccc(C12H8O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H8O4)cc1[*]
[*]C(=O)c1ccc(C20H24O8)cc1[*],4.6577,6.6992,410.4,O=C(O)c1ccc(C20H24O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C20H24O8)cc1[*]
[*]C(=O)c1ccc(C12H24F4Sn2)cc1[*],5.2318,5.7654,392.0,O=C(O)c1ccc(C12H24F4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C12H24F4Sn2)cc1[*]
[*]C(=O)c1ccc(C12H24F4Sn2)cc1[*],4.9281,5.5192,392.0,O=C(O)c1ccc(C12H24F4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C12H24F4Sn2)cc1[*]
[*]C(=O)c1ccc(C20H16F24O4)cc1[*],3.0893,8.3878,415.2,O=C(O)c1ccc(C20H16F24O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C20H16F24O4)cc1[*]
[*]C(=O)c1ccc(C8H4S2)cc1[*],12.3159,0.7797,378.0,O=C(O)c1ccc(C8H4S2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C8H4S2)cc1[*]
[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*],8.8961,2.2524,364.0,O=C(O)c1ccc(C4H8Cl4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*]
[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*],34.4768,2.8191,364.0,O=C(O)c1ccc(C4H8Cl4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*]
[*]C(=O)c1ccc(C12H12O4)cc1[*],3.6451,4.0149,387.2,O=C(O)c1ccc(C12H12O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H12O4)cc1[*]
[*]C(=O)c1ccc(C9H14CdO4)cc1[*],4.9202,5.2501,376.7,O=C(O)c1ccc(C9H14CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C9H14CdO4)cc1[*]
[*]C(=O)c1ccc(C11H18CdO4)cc1[*],4.8192,5.7674,383.7,O=C(O)c1ccc(C11H18CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C11H18CdO4)cc1[*]
[*]C(=O)c1ccc(C17H10S2)cc1[*],5.9435,1.8996,409.5,O=C(O)c1ccc(C17H10S2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C17H10S2)cc1[*]
[*]C(=O)c1ccc(C17H10S2)cc1[*],6.6668,1.7583,409.5,O=C(O)c1ccc(C17H10S2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C17H10S2)cc1[*]
[*]C(=O)c1ccc(C12H20CdO4)cc1[*],7.3667,5.4452,387.2,O=C(O)c1ccc(C12H20CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H20CdO4)cc1[*]
[*]C(=O)c1ccc(C18H16O6)cc1[*],4.5522,1.9153,405.8,O=C(O)c1ccc(C18H16O6)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C18H16O6)cc1[*]
[*]C(=O)c1ccc(C12H16O4)cc1[*],4.0555,4.0562,387.2,O=C(O)c1ccc(C12H16O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H16O4)cc1[*]
[*]C(=O)c1ccc(C10H10N2O2S2)cc1[*],4.0381,3.8409,392.6,O=C(O)c1ccc(C10H10N2O2S2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C10H10N2O2S2)cc1[*]
[*]C(=O)c1ccc(C17H12S)cc1[*],4.2158,2.8951,409.5,O=C(O)c1ccc(C17H12S)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C17H12S)cc1[*]
[*]C(=O)c1ccc(C13H9NS)cc1[*],6.7315,1.8785,400.5,O=C(O)c1ccc(C13H9NS)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C13H9NS)cc1[*]
[*]C(=O)c1ccc(C5H2O3S)cc1[*],4.2701,3.6706,363.9,O=C(O)c1ccc(C5H2O3S)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H2O3S)cc1[*]
[*]C(=O)c1ccc(C7H10O4Zn)cc1[*],6.6986,5.9601,369.7,O=C(O)c1ccc(C7H10O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C7H10O4Zn)cc1[*]
[*]C(=O)c1ccc(C8H12O4Zn)cc1[*],4.2757,3.9749,373.2,O=C(O)c1ccc(C8H12O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C8H12O4Zn)cc1[*]
[*]C(=O)c1ccc(C18H14N2S4)cc1[*],4.5116,2.8559,423.0,O=C(O)c1ccc(C18H14N2S4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C18H14N2S4)cc1[*]
[*]C(=O)c1ccc(C6H3NO2S)cc1[*],5.3783,2.6812,373.6,O=C(O)c1ccc(C6H3NO2S)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C6H3NO2S)cc1[*]
[*]C(=O)c1ccc(C14H10N2O4)cc1[*],4.367,3.6086,404.2,O=C(O)c1ccc(C14H10N2O4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C14H10N2O4)cc1[*]
[*]C(=O)c1ccc(C8H8N4O4)cc1[*],4.3981,3.2208,393.2,O=C(O)c1ccc(C8H8N4O4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C8H8N4O4)cc1[*]
[*]C(=O)c1ccc(C2H2N2O4S2)cc1[*],4.7906,3.7133,362.2,O=C(O)c1ccc(C2H2N2O4S2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C2H2N2O4S2)cc1[*]
[*]C(=O)c1ccc(C6H12N2O8)cc1[*],4.5165,4.961,371.4,O=C(O)c1ccc(C6H12N2O8)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C6H12N2O8)cc1[*]
[*]C(=O)c1ccc(C28H40N8S4)cc1[*],4.3566,3.6751,488.0,O=C(O)c1ccc(C28H40N8S4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C28H40N8S4)cc1[*]
[*]C(=O)c1ccc(C8H8Ca2O8)cc1[*],5.4147,6.3176,368.4,O=C(O)c1ccc(C8H8Ca2O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C8H8Ca2O8)cc1[*]
[*]C(=O)c1ccc(C10H18O4Ti)cc1[*],3.56,4.4289,380.2,O=C(O)c1ccc(C10H18O4Ti)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C10H18O4Ti)cc1[*]
[*]C(=O)c1ccc(C42H36N8S4)cc1[*],4.6312,3.6012,537.0,O=C(O)c1ccc(C42H36N8S4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C42H36N8S4)cc1[*]
[*]C(=O)c1ccc(C5H6O4Zn)cc1[*],9.1864,6.0472,362.7,O=C(O)c1ccc(C5H6O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H6O4Zn)cc1[*]
[*]C(=O)c1ccc(C4H4O4Zn)cc1[*],8.3201,6.2194,359.2,O=C(O)c1ccc(C4H4O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C4H4O4Zn)cc1[*]
[*]C(=O)c1ccc(C6H8CdO4)cc1[*],5.8441,5.9363,366.2,O=C(O)c1ccc(C6H8CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H8CdO4)cc1[*]
[*]C(=O)c1ccc(C5H6CdO4)cc1[*],6.0982,5.8421,362.7,O=C(O)c1ccc(C5H6CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H6CdO4)cc1[*]
[*]C(=O)c1ccc(C12H14N2S2)cc1[*],3.7837,3.793,402.0,O=C(O)c1ccc(C12H14N2S2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C12H14N2S2)cc1[*]
[*]C(=O)c1ccc(C6H12O2)cc1[*],2.9806,7.4889,368.6,O=C(O)c1ccc(C6H12O2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H12O2)cc1[*]
[*]C(=O)c1ccc(C3H2CdO4)cc1[*],8.9631,3.8,355.7,O=C(O)c1ccc(C3H2CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C3H2CdO4)cc1[*]
[*]C(=O)c1ccc(C16H14O10)cc1[*],4.6826,3.0267,394.0,O=C(O)c1ccc(C16H14O10)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H14O10)cc1[*]
[*]C(=O)c1ccc(C5H12O4)cc1[*],3.3128,6.8621,362.7,O=C(O)c1ccc(C5H12O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H12O4)cc1[*]
[*]C(=O)c1ccc(C20H16O8)cc1[*],4.1878,3.8352,410.4,O=C(O)c1ccc(C20H16O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C20H16O8)cc1[*]
[*]C(=O)c1ccc(C8H12CdO4)cc1[*],6.1742,5.0897,373.2,O=C(O)c1ccc(C8H12CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C8H12CdO4)cc1[*]
[*]C(=O)c1ccc(C7H10CdO4)cc1[*],5.2123,5.7113,369.7,O=C(O)c1ccc(C7H10CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C7H10CdO4)cc1[*]
[*]C(=O)c1ccc(C7H10CdO4)cc1[*],5.4096,5.4641,369.7,O=C(O)c1ccc(C7H10CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C7H10CdO4)cc1[*]
[*]C(=O)c1ccc(C8H12CdO4)cc1[*],6.3965,5.7428,373.2,O=C(O)c1ccc(C8H12CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C8H12CdO4)cc1[*]
[*]C(=O)c1ccc(C16H22O8)cc1[*],3.5255,3.7083,396.4,O=C(O)c1ccc(C16H22O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H22O8)cc1[*]
[*]C(=O)c1ccc(C16H32O4)cc1[*],2.9221,7.7852,401.2,O=C(O)c1ccc(C16H32O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H32O4)cc1[*]
[*]C(=O)c1ccc(C7H6OS)cc1[*],4.378,3.1093,373.3,O=C(O)c1ccc(C7H6OS)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C7H6OS)cc1[*]
[*]C(=O)c1ccc(C16H24O8)cc1[*],3.3134,6.4991,396.4,O=C(O)c1ccc(C16H24O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H24O8)cc1[*]
[*]C(=O)c1ccc(C3H2CdO4)cc1[*],8.3034,3.5231,355.7,O=C(O)c1ccc(C3H2CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C3H2CdO4)cc1[*]
[*]C(=O)c1ccc(C5H6CdO4)cc1[*],5.8161,5.5727,362.7,O=C(O)c1ccc(C5H6CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H6CdO4)cc1[*]
[*]C(=O)c1ccc(C16H18N2)cc1[*],3.5372,3.689,416.0,O=C(O)c1ccc(C16H18N2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C16H18N2)cc1[*]
[*]C(=O)c1ccc(C6H8CdO4)cc1[*],5.4287,5.9129,366.2,O=C(O)c1ccc(C6H8CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H8CdO4)cc1[*]
[*]C(=O)c1ccc(C4H4O4Zn)cc1[*],10.1599,5.4975,359.2,O=C(O)c1ccc(C4H4O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C4H4O4Zn)cc1[*]
[*]C(=O)c1ccc(C5H6O4Zn)cc1[*],10.1528,5.9765,362.7,O=C(O)c1ccc(C5H6O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H6O4Zn)cc1[*]
[*]C(=O)c1ccc(C11H20O4Ti)cc1[*],3.5169,4.3001,383.7,O=C(O)c1ccc(C11H20O4Ti)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C11H20O4Ti)cc1[*]
[*]C(=O)c1ccc(C42H36N8S4)cc1[*],4.7124,3.141,537.0,O=C(O)c1ccc(C42H36N8S4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C42H36N8S4)cc1[*]
[*]C(=O)c1ccc(C28H24N4S2)cc1[*],4.4586,3.9019,468.0,O=C(O)c1ccc(C28H24N4S2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C28H24N4S2)cc1[*]
[*]C(=O)c1ccc(C14H20Ca2O8)cc1[*],4.4288,6.7995,389.4,O=C(O)c1ccc(C14H20Ca2O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C14H20Ca2O8)cc1[*]
[*]C(=O)c1ccc(C8H12N4O4)cc1[*],3.7157,5.6609,393.2,O=C(O)c1ccc(C8H12N4O4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C8H12N4O4)cc1[*]
[*]C(=O)c1ccc(C40H32N8O2S4)cc1[*],4.6396,3.2361,527.6,O=C(O)c1ccc(C40H32N8O2S4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C40H32N8O2S4)cc1[*]
[*]C(=O)c1ccc(C8H8N4O4)cc1[*],4.5999,2.6909,393.2,O=C(O)c1ccc(C8H8N4O4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C8H8N4O4)cc1[*]
[*]C(=O)c1ccc(C8H5NOS)cc1[*],5.1023,2.4238,381.8,O=C(O)c1ccc(C8H5NOS)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C8H5NOS)cc1[*]
[*]C(=O)c1ccc(C22H14N2O2S2)cc1[*],5.9716,1.9448,434.6,O=C(O)c1ccc(C22H14N2O2S2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C22H14N2O2S2)cc1[*]
[*]C(=O)c1ccc(C9H14O4Zn)cc1[*],10.738,5.9862,376.7,O=C(O)c1ccc(C9H14O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C9H14O4Zn)cc1[*]
[*]C(=O)c1ccc(C18H10N2O2S4)cc1[*],6.9249,1.9451,420.6,O=C(O)c1ccc(C18H10N2O2S4)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C18H10N2O2S4)cc1[*]
[*]C(=O)c1ccc(C16H8O4S2)cc1[*],5.6739,2.3448,401.2,O=C(O)c1ccc(C16H8O4S2)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H8O4S2)cc1[*]
[*]C(=O)c1ccc(C7H10O4Zn)cc1[*],4.1575,6.527,369.7,O=C(O)c1ccc(C7H10O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C7H10O4Zn)cc1[*]
[*]C(=O)c1ccc(C7H5NOS)cc1[*],21.9047,1.0765,378.3,O=C(O)c1ccc(C7H5NOS)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C7H5NOS)cc1[*]
[*]C(=O)c1ccc(C24H16S4)cc1[*],4.6055,1.9323,434.0,O=C(O)c1ccc(C24H16S4)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C24H16S4)cc1[*]
[*]C(=O)c1ccc(C6H5NS2)cc1[*],4.4633,2.8469,376.0,O=C(O)c1ccc(C6H5NS2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C6H5NS2)cc1[*]
[*]C(=O)c1ccc(C24H24O4)cc1[*],3.6973,3.3664,429.2,O=C(O)c1ccc(C24H24O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C24H24O4)cc1[*]
[*]C(=O)c1ccc(C24H22O4)cc1[*],4.0893,4.0294,429.2,O=C(O)c1ccc(C24H22O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C24H22O4)cc1[*]
[*]C(=O)c1ccc(C16H10OS)cc1[*],5.024,2.397,404.8,O=C(O)c1ccc(C16H10OS)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H10OS)cc1[*]
[*]C(=O)c1ccc(C12H20CdO4)cc1[*],4.1966,6.0183,387.2,O=C(O)c1ccc(C12H20CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H20CdO4)cc1[*]
[*]C(=O)c1ccc(C11H18CdO4)cc1[*],4.3962,5.5679,383.7,O=C(O)c1ccc(C11H18CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C11H18CdO4)cc1[*]
[*]C(=O)c1ccc(C16H10OS)cc1[*],4.8941,2.1724,404.8,O=C(O)c1ccc(C16H10OS)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H10OS)cc1[*]
[*]C(=O)c1ccc(C9H14CdO4)cc1[*],6.8765,3.6234,376.7,O=C(O)c1ccc(C9H14CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C9H14CdO4)cc1[*]
[*]C(=O)c1ccc(C14H8O2S4)cc1[*],4.5557,2.693,396.6,O=C(O)c1ccc(C14H8O2S4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C14H8O2S4)cc1[*]
[*]C(=O)c1ccc(C12H20CdO4)cc1[*],4.9372,5.7258,387.2,O=C(O)c1ccc(C12H20CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H20CdO4)cc1[*]
[*]C(=O)c1ccc(C20H12S2)cc1[*],7.1341,1.3917,420.0,O=C(O)c1ccc(C20H12S2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C20H12S2)cc1[*]
[*]C(=O)c1ccc(C10H6S)cc1[*],4.2535,2.0606,385.0,O=C(O)c1ccc(C10H6S)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C10H6S)cc1[*]
[*]C(=O)c1ccc(C11H18CdO4)cc1[*],4.383,5.5973,383.7,O=C(O)c1ccc(C11H18CdO4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C11H18CdO4)cc1[*]
[*]C(=O)c1ccc(C22H16O8)cc1[*],4.0195,3.105,417.4,O=C(O)c1ccc(C22H16O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C22H16O8)cc1[*]
[*]C(=O)c1ccc(C22H20O6)cc1[*],4.6661,3.3521,419.8,O=C(O)c1ccc(C22H20O6)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C22H20O6)cc1[*]
[*]C(=O)c1ccc(C19H14)cc1[*],3.6675,3.4166,416.5,O=C(O)c1ccc(C19H14)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C19H14)cc1[*]
[*]C(=O)c1ccc(C18H12O2S4)cc1[*],3.6387,4.26,410.6,O=C(O)c1ccc(C18H12O2S4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C18H12O2S4)cc1[*]
[*]C(=O)c1ccc(C20H28O4)cc1[*],3.2788,5.3673,415.2,O=C(O)c1ccc(C20H28O4)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C20H28O4)cc1[*]
